1 - 2                    EXTRA CORSA
2 - 4                    ALT E BOTTONIERA MANUTENZIONE
4 - 5                    INTER FOSSA
5 - 6                    ALT CABINA
6 - 7                    PARACADUTE
7 - 8                    PRELIMINARI
8 - 9                    PORTE CABINA(SIA IN BATTENTE CHE IN AUTOMATICO)
9 - 10                   BLOCCHI
MA - GND                 DEVIATORE MANUTENZIONE
GND - UP, GND - DW       PULSANTI ISPEZIONE
CB / CE                  COMUNE CHIAMATE CABINA/ESTERNE
0 - 1...                 CHIAMATE (SU SCHEDA PERIFERICA)
GND - FCD                BISTABILE FINE CORSA DISCESA
GND - FCS                BISTABILE FINE CORSA SALITA
GND - ID                 INDUTTORE CONTEGGIO DISCESA
GND - IS                 INDUTTORE CONTEGGIO SALITA
GND - IP1, GND - IP2     INDUTTORI CABINA AL PIANO E ZONA SICUREZZA  (SU BOX CABINA E SU QUADRO)
GND - PA                 PULSANTE APERTURA PORTE
GND - SVR                CONTATTO SOVRACCARICO
GND - CM1                COSTOLA - FOTOCELLULA LATO 1
GND - CM2                COSTOLA - FOTOCELLULA LATO 2
GND - FM                 FONDO MOBILE
CFC - FA1                CONTATTO FINECORSA APERTURA PORTE LATO 1
CFC - FC1                CONTATTO FINECORSA CHIUSURA PORTE LATO 1
CFC - FA2                CONTATTO FINECORSA APERTURA PORTE LATO 2
CFC - FC2                CONTATTO FINECORSA CHIUSURA PORTE LATO 2
CL - 0, CL - 1...        SEGNALAZIONE POSIZIONE (SU PERIFERICA QUADRO)
CL - FS                  SEGNALAZIONE FRECCIA SALITA
CL - FD                  SEGNALAZIONE FRECCIA DISCESA
CL - SV                  SEGNALAZIONE SOVRACCARICO
CL - GON                 SEGANALZIONE GONG IN CABINA
CL - OCC                 SEGANALAZIONE OCCUPATO
PE                       RITORNO PRESENTE
PR+ - PR-                PATTINO RETRATTILE
M1 - M1 - M1             MOTORE PORTE LATO 1 – TRIFASE
M2 - M2 - M2             MOTORE PORTE LATO 2 – TRIFASE
