AL- - AL1                PULSANTE ALLARME
AL- - ALR                SPIA ALLARME RICEVUTO
AL- - ALP                LUMINOSA ALLARME AI PIANI
AL- - PAR                PULSANTE ALLARME RICEVUTO
AL- - PRS                PULSANTE RESET ALLRME
AL- - AL+                ALIMENTAZIONE CITOFONO IN ALLARME
AL+ - AL2                SUONERIA ALLARME
AL+ - LEM                LUCE EMERGENZA 12 VDC
CTF - CTF                CONSENSO COMBINATORE TELEFONICO
IG - IG1                 4° POLO INTERRUTTORE GENERALE
IG1 - ME                 INT. MANUTENZIONE - APERTO IN MANUTENZIONE
ME - FEM                 INDUTTORE “N.O.” FINE EMERGENZA
CEV - EVL                ELETTROVALVOLA LIVELLAZIONE
CEV - EVD                ELETTROVALVOLA DISCESA
CEV - EVS                ELETTROVALVOLA SALITA
CEV - ELD                ELETTROVALVOLA LIVELLAZIONE DISCESA
CEV - ELS                ELETTROVALVOLA LIVELLAZIONE SALITA
CEV - EVE                ELETTROVALVOLA EMERGENZA 12V
PTC - PTC                TERMISTORI MOTORE
LF - LF                  ALIMENTAZIONE OPERATORE PORTE ELETTR. (220VAC O 24VAC)
R - S - T                LINEA TRIFASE
U - V - W	               MOTORE POMPA
X - Y - Z	               MOTORE POMPA
L1 - L2	                 LINEA LUCE CABINA 230 VAC
L1 - L3	                 LUCE CABINA A TEMPO
COM - AP1                COMANDO APERTURA PORTE LATO 1 OPERATORE ELETTRONICO
COM - CP1                COMANDO CHIUSURA PORTE LATO 1 OPERATORE ELETTRONICO
COM - AP2                COMANDO APERTURA PORTE LATO 2 OPERATORE ELETTRONICO
COM - CP2                COMANDO CHIUSURA PORTE LATO 2 OPERATORE ELETTRONICO
GND - IAX                INDUTTORE FERMATA CON PIANI CORTI ESTREMI

BRO - BR1                BOBINA RALL. OPERATORE TRIFASE LATO 1
BRO - BR2                BOBINA RALL. OPERATORE TRIFASE LATO 2
BR1 - RA1                CONT.RALL. APERTURA LATO 1
BR1 - RC1                CONT.RALL. CHIUSURA LATO 1
BR2 - RA2                CONT.RALL. APERTURA LATO 2
BR2 - RC2                CONT.RALL. CHIUSURA LATO 2

AL1 - AL2                PULSANTE ALLARME (SENZA LEGGE 13)
AL2 - AL3                SUONERIA ALLARME(SENZA LEGGE 13)
ICP - ICP                INDUTTORE CABINA SPIA AL PIANO (SENZA LEGGE 13)
